movielens_id,title,year,genres,avg_rating,imdb_url
1,Toy Story (1995),1995,Animation|Children|Comedy,3.88,https://www.imdb.com/title/tt0114709/
2,GoldenEye (1995),1995,Action|Adventure|Thriller,3.21,https://www.imdb.com/title/tt0113189/
3,Four Rooms (1995),1995,Thriller,3.00,https://www.imdb.com/title/tt0113101/
4,Get Shorty (1995),1995,Action|Comedy|Drama,3.55,https://www.imdb.com/title/tt0113161/
5,Copycat (1995),1995,Crime|Drama|Thriller,3.30,https://www.imdb.com/title/tt0112722/
6,Shanghai Triad (1995),1995,Crime|Drama,3.29,https://www.imdb.com/title/tt0114798/
7,Twelve Monkeys (1995),1995,Drama|Sci-Fi,4.01,https://www.imdb.com/title/tt0114746/
8,Babe (1995),1995,Children|Comedy|Drama,3.78,https://www.imdb.com/title/tt0112431/
9,Dead Man (1995),1995,Western,3.29,https://www.imdb.com/title/tt0109890/
10,Richard III (1995),1995,Drama|War,3.44,https://www.imdb.com/title/tt0114438/
11,Seven (1995),1995,Crime|Thriller,4.15,https://www.imdb.com/title/tt0114369/
12,Usual Suspects The (1995),1995,Crime|Thriller,4.39,https://www.imdb.com/title/tt0114814/
13,Mighty Aphrodite (1995),1995,Comedy|Drama,2.97,https://www.imdb.com/title/tt0113833/
14,Postino Il (1995),1995,Drama|Romance,3.86,https://www.imdb.com/title/tt0114919/
15,Mr. Holland's Opus (1995),1995,Drama,3.46,https://www.imdb.com/title/tt0113862/
16,French Twist (1995),1995,Comedy|Romance,2.71,https://www.imdb.com/title/tt0113147/
17,From Dusk Till Dawn (1996),1996,Action|Comedy|Horror|Thriller,3.36,https://www.imdb.com/title/tt0116367/
18,White Balloon The (1995),1995,Drama,3.71,https://www.imdb.com/title/tt0114990/
19,Antonia's Line (1995),1995,Drama,3.59,https://www.imdb.com/title/tt0112379/
20,Angels and Insects (1995),1995,Drama|Romance,3.25,https://www.imdb.com/title/tt0112345/
21,Muppet Treasure Island (1996),1996,Adventure|Children|Comedy|Musical,3.19,https://www.imdb.com/title/tt0117110/
22,Braveheart (1995),1995,Action|Drama|War,4.15,https://www.imdb.com/title/tt0112573/
23,Taxi Driver (1976),1976,Crime|Drama|Thriller,4.25,https://www.imdb.com/title/tt0075314/
24,Rumble in the Bronx (1995),1995,Action|Adventure|Comedy,2.98,https://www.imdb.com/title/tt0113326/
25,Billy Madison (1995),1995,Comedy,2.92,https://www.imdb.com/title/tt0112508/
26,Othello (1995),1995,Drama,3.26,https://www.imdb.com/title/tt0114139/
27,Now and Then (1995),1995,Comedy|Drama,2.58,https://www.imdb.com/title/tt0113958/
28,Persuasion (1995),1995,Drama|Romance,3.66,https://www.imdb.com/title/tt0114157/
29,City of Lost Children The (1995),1995,Adventure|Drama|Fantasy|Sci-Fi,3.81,https://www.imdb.com/title/tt0112682/
30,Shanghai Noon (2000),2000,Action|Comedy|Western,3.56,https://www.imdb.com/title/tt0184894/
31,Crimson Tide (1995),1995,Drama|Thriller,4.02,https://www.imdb.com/title/tt0112740/
32,Species (1995),1995,Horror|Sci-Fi,3.00,https://www.imdb.com/title/tt0114508/
33,Rob Roy (1995),1995,Action|Drama|Romance|War,3.44,https://www.imdb.com/title/tt0114494/
34,Forrest Gump (1994),1994,Comedy|Drama|Romance|War,4.01,https://www.imdb.com/title/tt0109830/
35,The Shawshank Redemption (1994),1994,Drama,4.49,https://www.imdb.com/title/tt0111161/
36,The Silence of the Lambs (1991),1991,Crime|Drama|Thriller,4.32,https://www.imdb.com/title/tt0102926/
37,Schindler's List (1993),1993,Drama|War,4.47,https://www.imdb.com/title/tt0108052/
38,Pulp Fiction (1994),1994,Crime|Drama|Thriller,4.35,https://www.imdb.com/title/tt0110912/
39,The Dark Knight (2008),2008,Action|Crime|Drama|Thriller,4.52,https://www.imdb.com/title/tt0468569/
40,Inception (2010),2010,Action|Adventure|Sci-Fi|Thriller,4.37,https://www.imdb.com/title/tt1375666/
41,The Matrix (1999),1999,Action|Sci-Fi|Thriller,4.26,https://www.imdb.com/title/tt0133093/
42,Goodfellas (1990),1990,Crime|Drama,4.33,https://www.imdb.com/title/tt0099685/
43,The Godfather (1972),1972,Crime|Drama,4.51,https://www.imdb.com/title/tt0068646/
44,Interstellar (2014),2014,Adventure|Drama|Sci-Fi,4.35,https://www.imdb.com/title/tt0816692/
45,Fight Club (1999),1999,Drama|Thriller,4.36,https://www.imdb.com/title/tt0137523/
46,The Lord of the Rings: The Fellowship of the Ring (2001),2001,Adventure|Fantasy,4.30,https://www.imdb.com/title/tt0120737/
47,Star Wars: Episode IV - A New Hope (1977),1977,Action|Adventure|Sci-Fi,4.28,https://www.imdb.com/title/tt0076759/
48,The Empire Strikes Back (1980),1980,Action|Adventure|Sci-Fi,4.37,https://www.imdb.com/title/tt0080684/
49,Return of the Jedi (1983),1983,Action|Adventure|Sci-Fi,4.01,https://www.imdb.com/title/tt0086190/
50,Jurassic Park (1993),1993,Action|Adventure|Sci-Fi|Thriller,3.78,https://www.imdb.com/title/tt0107290/
51,Fargo (1996),1996,Crime|Drama|Thriller,4.19,https://www.imdb.com/title/tt0116282/
52,Casablanca (1942),1942,Drama|Romance|War,4.41,https://www.imdb.com/title/tt0034583/,1960,Crime|Horror|Mystery|Thriller,4.24,https://www.imdb.com/title/tt0054215/
54,2001: A Space Odyssey (1968),1968,Drama|Mystery|Sci-Fi,4.14,https://www.imdb.com/title/tt0062622/
55,Apocalypse Now (1979),1979,Drama|War,4.27,https://www.imdb.com/title/tt0078788/
56,The Godfather: Part II (1974),1974,Crime|Drama,4.44,https://www.imdb.com/title/tt0071562/
57,One Flew Over the Cuckoo's Nest (1975),1975,Drama,4.29,https://www.imdb.com/title/tt0073486/
58,Citizen Kane (1941),1941,Drama|Mystery,4.17,https://www.imdb.com/title/tt0033467/
59,Vertigo (1958),1958,Mystery|Romance|Thriller,4.21,https://www.imdb.com/title/tt0052357/
60,Rear Window (1954),1954,Mystery|Thriller,4.25,https://www.imdb.com/title/tt0047396/
61,Aliens (1986),1986,Action|Adventure|Horror|Sci-Fi,4.07,https://www.imdb.com/title/tt0090605/
62,Die Hard (1988),1988,Action|Adventure|Thriller,4.06,https://www.imdb.com/title/tt0095016/
63,Terminator 2: Judgment Day (1991),1991,Action|Adventure|Sci-Fi|Thriller,4.10,https://www.imdb.com/title/tt0103064/
64,Back to the Future (1985),1985,Adventure|Comedy|Sci-Fi,4.17,https://www.imdb.com/title/tt0088763/
65,Raiders of the Lost Ark (1981),1981,Action|Adventure,4.25,https://www.imdb.com/title/tt0082971/
66,Jaws (1975),1975,Adventure|Horror|Mystery|Thriller,3.88,https://www.imdb.com/title/tt0073195/
67,The Shining (1980),1980,Drama|Horror,4.15,https://www.imdb.com/title/tt0081505/
68,Blade Runner (1982),1982,Film-Noir|Sci-Fi|Thriller,4.10,https://www.imdb.com/title/tt0083658/
69,E.T. the Extra-Terrestrial (1982),1982,Adventure|Children|Drama|Fantasy|Sci-Fi,3.77,https://www.imdb.com/title/tt0083866/
70,The Lion King (1994),1994,Animation|Children|Drama|Musical,3.93,https://www.imdb.com/title/tt0110357/
71,Aladdin (1992),1992,Animation|Adventure|Children|Comedy|Musical|Romance,3.70,https://www.imdb.com/title/tt0103639/
72,Beauty and the Beast (1991),1991,Animation|Children|Musical|Romance,3.82,https://www.imdb.com/title/tt0101414/
73,The Little Mermaid (1989),1989,Animation|Children|Comedy|Musical|Romance,3.56,https://www.imdb.com/title/tt0097757/
74,Titanic (1997),1997,Drama|Romance,3.61,https://www.imdb.com/title/tt0120338/
75,Good Will Hunting (1997),1997,Drama|Romance,4.09,https://www.imdb.com/title/tt0119217/
76,L.A. Confidential (1997),1997,Crime|Drama|Film-Noir|Mystery|Thriller,4.24,https://www.imdb.com/title/tt0119488/
77,As Good as It Gets (1997),1997,Comedy|Drama|Romance,3.78,https://www.imdb.com/title/tt0119822/
78,The Full Monty (1997),1997,Comedy|Drama,3.93,https://www.imdb.com/title/tt0119282/
79,Boogie Nights (1997),1997,Crime|Drama,3.87,https://www.imdb.com/title/tt0118749/
80,Donnie Brasco (1997),1997,Crime|Drama,3.84,https://www.imdb.com/title/tt0119008/
81,Contact (1997),1997,Drama|Sci-Fi,3.80,https://www.imdb.com/title/tt0118884/
82,Air Force One (1997),1997,Action|Drama|Thriller,3.47,https://www.imdb.com/title/tt0118571/
83,The Game (1997),1997,Drama|Mystery|Thriller,3.79,https://www.imdb.com/title/tt0119174/
84,Conspiracy Theory (1997),1997,Action|Mystery|Romance|Thriller,3.24,https://www.imdb.com/title/tt0118883/
85,The Fifth Element (1997),1997,Action|Adventure|Romance|Sci-Fi|Thriller,3.65,https://www.imdb.com/title/tt0119116/
86,Men in Black (1997),1997,Action|Adventure|Comedy|Sci-Fi,3.65,https://www.imdb.com/title/tt0119654/
87,Face/Off (1997),1997,Action|Crime|Thriller,3.54,https://www.imdb.com/title/tt0119094/
88,Con Air (1997),1997,Action|Crime|Thriller,3.04,https://www.imdb.com/title/tt0118880/
89,Liar Liar (1997),1997,Comedy,3.10,https://www.imdb.com/title/tt0119528/
90,My Best Friend's Wedding (1997),1997,Comedy|Romance,3.19,https://www.imdb.com/title/tt0119738/
91,The Lost World: Jurassic Park (1997),1997,Action|Adventure|Sci-Fi|Thriller,2.93,https://www.imdb.com/title/tt0119567/
92,Austin Powers: International Man of Mystery (1997),1997,Comedy,3.45,https://www.imdb.com/title/tt0118655/
93,Chasing Amy (1997),1997,Comedy|Drama|Romance,3.62,https://www.imdb.com/title/tt0118607/
94,Breakdown (1997),1997,Action|Drama|Mystery|Thriller,3.36,https://www.imdb.com/title/tt0118780/
95,Grosse Pointe Blank (1997),1997,Comedy|Crime|Romance,3.73,https://www.imdb.com/title/tt0119229/
96,The Devil's Advocate (1997),1997,Drama|Mystery|Thriller,3.44,https://www.imdb.com/title/tt0118971/
97,Absolute Power (1997),1997,Crime|Drama|Mystery|Thriller,3.43,https://www.imdb.com/title/tt0118548/
98,Kiss the Girls (1997),1997,Crime|Drama|Mystery|Thriller,3.31,https://www.imdb.com/title/tt0119468/
99,Scream 2 (1997),1997,Horror|Thriller,3.01,https://www.imdb.com/title/tt0120082/
100,Alien (1979),1979,Action|Horror|Sci-Fi|Thriller,4.12,https://www.imdb.com/title/tt0078748/
101,The Princess Bride (1987),1987,Action|Adventure|Comedy|Fantasy|Romance,4.17,https://www.imdb.com/title/tt0093779/
102,Groundhog Day (1993),1993,Comedy|Fantasy|Romance,4.05,https://www.imdb.com/title/tt0107048/
103,Ghostbusters (1984),1984,Action|Comedy|Horror|Sci-Fi,3.82,https://www.imdb.com/title/tt0087332/
104,Big (1988),1988,Comedy|Drama|Fantasy,3.78,https://www.imdb.com/title/tt0094737/
105,When Harry Met Sally... (1989),1989,Comedy|Romance,3.79,https://www.imdb.com/title/tt0098635/
106,Mulan (1998),1998,Animation|Adventure|Children|Drama|Musical,3.61,https://www.imdb.com/title/tt0120762/
107,Natural Born Killers (1994),1994,Action|Crime|Drama|Thriller,3.28,https://www.imdb.com/title/tt0110632/
108,Speed (1994),1994,Action|Romance|Thriller,3.53,https://www.imdb.com/title/tt0111257/
109,True Lies (1994),1994,Action|Adventure|Comedy|Romance|Thriller,3.55,https://www.imdb.com/title/tt0111503/
110,A Bug's Life (1998),1998,Animation|Adventure|Children|Comedy,3.64,https://www.imdb.com/title/tt0120623/
